First Name,Last Name,Title,Inventory ID,Year,Materials,Dimension: Dimension 1 - Height,Dimension: Dimension 1 - Width,Dimension: Dimension 1 - Depth,Dimension: Dimension 1 - Units,Dimension: Dimension 1 - Notes,Object Status,Location,Price: Price 1,Price: Price 1 - Notes,Price: Price 2,Price: Price 2 - Notes,Price: Price 3,Price: Price 3 - Notes,Cost 1 - Type,Cost 1 - Amount,Cost 1 - Currency,Cost 1 - Date,Cost 1 - Notes,Payable 1 - Amount,Payable 1 - Currency,Payable 1 - Date,Payable 1 - Notes,Payable 1 - Paid?,Insurance 1 - Amount,Insurance 1 - Currency,Insurance 1 - Date,Insurance 1 - Notes,Appraisal 1 - Amount,Appraisal 1 - Currency,Appraisal 1 - Date,Appraisal 1 - Notes,Additional Info
,,Table by Karl Springer,1964                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Spaghetti lamp by Gaetano Pesce,1967                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wall or ceiling lamp by Franco Albini and Franca Helg,1977                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carpet by Gaetano Pesce,2014                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carpet by Gaetano Pesce,2015                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Decorative objects, Iron painted book",202/205                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2043                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Floor lamp by Georges Mathieu,2052                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chest of drawer,2073A                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2077                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chinese bookshelves,2080                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2080A                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deco carpet,2096                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Contemporary carpet,2100                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Table by Nadine Chartrer,2100A                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Contemporary carpet Deco,2101                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carpet,2105T                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carpet,211                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mirror by Peder Moos,2114                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Contemporary carpet,2129                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carpet,216                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Malachite trumeau by Piero Fornasetti,2195                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,220                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,222                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ceiling lamp by Gaetano Pesce,2306                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2332                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sixteen Petals chandelier by XYZ Design.,2337                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pair of wall lamps Lancia by Pietro Chiesa,2347                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Low table by Fabricius & Kastholm,2363                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Tableware, green plate",238/241                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2391                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chairs mod. Du 24 by Gastone Rinaldi,2393-1                   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
